gtbboxid,classid,imageid,lx,rx,ty,by,difficult,split
68,15,2,0.1025,0.1925,0.7600,0.9333,0,train
69,15,2,0.1925,0.2875,0.7567,0.9400,0,train
70,16,2,0.8125,0.9050,0.6967,0.8667,0,train
71,16,2,0.8975,1.0000,0.6867,0.8800,0,train
72,17,3,0.0667,0.2400,0.1300,0.2750,0,train
73,17,3,0.3867,0.5467,0.1375,0.2775,0,train
74,17,3,0.2867,0.3833,0.2200,0.2750,1,train
75,18,3,0.4933,0.6733,0.4425,0.6150,0,train
76,18,3,0.6733,0.8400,0.4425,0.6125,0,train
77,18,3,0.8433,1.0000,0.4425,0.6125,0,train
78,19,3,0.0567,0.2300,0.8125,0.9300,0,train
79,19,3,0.2400,0.4067,0.7950,0.9250,0,train
80,19,3,0.4100,0.5733,0.7925,0.9250,0,train
81,19,3,0.0567,0.2433,0.7000,0.8125,1,train
82,19,3,0.2400,0.3867,0.6800,0.7650,0,train
83,19,3,0.3967,0.5600,0.6775,0.7675,0,train
84,20,3,0.5767,0.7567,0.6850,0.8225,0,train
85,20,3,0.5767,0.7567,0.8225,0.9450,0,train
86,20,3,0.7600,0.9367,0.6825,0.8250,0,train
87,20,3,0.7667,0.9333,0.8275,0.9475,0,train
89,21,4,0.1975,0.2950,0.2467,0.4767,1,train
90,17,4,0.3000,0.4125,0.3200,0.4833,0,train
91,17,4,0.4275,0.5025,0.4033,0.4833,0,train
92,17,4,0.5075,0.6200,0.3200,0.4867,0,train
94,1001,4,0.7425,0.8900,0.2933,0.4833,0,train
95,1001,4,0.8850,1.0000,0.2900,0.4867,0,train
96,18,4,0.5850,0.7300,0.6833,0.9133,0,train
97,18,4,0.7250,0.8550,0.6867,0.9133,0,train
98,18,4,0.8475,0.9850,0.6900,0.9133,0,train
99,22,5,0.0300,0.2033,0.0000,0.1450,0,train
100,22,5,0.2033,0.3733,0.0050,0.1475,0,train
101,22,5,0.3767,0.5467,0.0050,0.1550,0,train
102,23,5,0.5567,0.6800,0.0350,0.1600,0,train
103,23,5,0.6833,0.7833,0.0475,0.1575,0,train
104,23,5,0.7933,0.9200,0.0025,0.1600,0,train
105,28,5,0.0767,0.2500,0.3350,0.5525,0,train
106,28,5,0.2500,0.4233,0.3450,0.5550,0,train
107,29,5,0.4400,0.5933,0.2575,0.4050,0,train
108,29,5,0.4300,0.5933,0.4075,0.5550,0,train
109,29,5,0.6000,0.7600,0.2625,0.4125,0,train
110,29,5,0.5967,0.7567,0.4100,0.5575,0,train
111,29,5,0.7667,0.8900,0.4275,0.5550,0,train
112,29,5,0.7667,0.8633,0.3050,0.4200,0,train
113,29,5,0.9000,1.0000,0.4275,0.5600,0,train
114,26,5,0.5833,0.7067,0.6450,0.8050,0,train
115,26,5,0.5733,0.6967,0.7950,0.9325,0,train
116,26,5,0.7067,0.8467,0.6450,0.8100,0,train
117,26,5,0.7033,0.8267,0.7875,0.9350,0,train
118,27,5,0.8400,1.0000,0.6250,0.7925,0,train
119,27,5,0.8333,1.0000,0.7775,0.9400,0,train
120,28,6,0.2075,0.3400,0.1733,0.4500,0,val-old-cl
121,28,6,0.3375,0.4675,0.1867,0.4533,0,val-old-cl
122,29,6,0.4725,0.5850,0.0633,0.2667,0,val-old-cl
123,29,6,0.5900,0.7075,0.0600,0.2667,0,val-old-cl
124,29,6,0.4700,0.5850,0.2600,0.4500,0,val-old-cl
125,29,6,0.5900,0.7075,0.2567,0.4533,0,val-old-cl
126,29,6,0.7150,0.8050,0.2733,0.4500,0,val-old-cl
127,29,6,0.8100,0.8850,0.2733,0.4500,0,val-old-cl
128,29,6,0.7125,0.7775,0.1267,0.2767,0,val-old-cl
129,30,6,0.8875,0.9875,0.0533,0.1933,0,val-new-cl
130,30,6,0.8875,0.9850,0.1867,0.3233,0,val-new-cl
131,30,6,0.8900,0.9825,0.3167,0.4433,0,val-new-cl
132,26,6,0.5825,0.6700,0.5733,0.7633,0,val-old-cl
133,26,6,0.5800,0.6675,0.7500,0.9300,0,val-old-cl
134,26,6,0.6725,0.7600,0.5733,0.7633,0,val-old-cl
135,26,6,0.6675,0.7575,0.7467,0.9267,0,val-old-cl
136,27,6,0.7700,0.8800,0.5433,0.7400,0,val-old-cl
137,27,6,0.7650,0.8750,0.7300,0.9233,0,val-old-cl
138,27,6,0.8850,1.0000,0.5467,0.7400,0,val-old-cl
139,27,6,0.8775,1.0000,0.7267,0.9200,0,val-old-cl
140,31,7,0.0800,0.2075,0.0900,0.3167,0,train
141,31,7,0.2000,0.3225,0.0867,0.3133,0,train
142,32,7,0.3300,0.4375,0.0000,0.1000,0,train
143,32,7,0.3275,0.4450,0.0900,0.2167,0,train
144,32,7,0.3275,0.4400,0.2067,0.3200,0,train
145,32,7,0.4475,0.5525,0.0000,0.1067,0,train
146,32,7,0.4425,0.5500,0.0967,0.2233,0,train
147,32,7,0.4475,0.5475,0.2133,0.3233,0,train
148,33,7,0.5600,0.6700,0.1033,0.3267,0,train
149,33,7,0.6800,0.7925,0.1033,0.3267,0,train
150,33,7,0.7900,0.8825,0.1100,0.3267,0,train
151,1221,7,0.0450,0.1500,0.6567,0.8867,0,train
152,1221,7,0.1475,0.2575,0.6533,0.8867,0,train
153,35,7,0.2650,0.3675,0.6500,0.8700,0,train
154,35,7,0.3675,0.4575,0.6467,0.8767,0,train
155,35,7,0.2975,0.3775,0.4433,0.6133,0,train
156,35,7,0.3800,0.4650,0.4400,0.6200,0,train
157,36,7,0.4750,0.5700,0.6533,0.8667,0,train
159,37,7,0.6950,0.7950,0.4333,0.6100,0,train
160,37,7,0.6875,0.7875,0.5867,0.7533,0,train
161,37,7,0.6850,0.7800,0.7233,0.8833,0,train
162,37,7,0.7950,0.8950,0.4367,0.6000,0,train
163,37,7,0.7875,0.8850,0.5867,0.7467,0,train
164,37,7,0.7800,0.8775,0.7200,0.8800,0,train
165,37,7,0.9100,1.0000,0.4933,0.7133,0,train
166,37,7,0.8975,1.0000,0.6867,0.9067,0,train
167,34,8,0.0150,0.0925,0.1867,0.3333,0,train
168,34,8,0.0000,0.0700,0.3433,0.5067,0,train
169,1221,8,0.0725,0.1650,0.3433,0.5133,0,train
170,1221,8,0.1650,0.2500,0.3367,0.5067,0,train
171,35,8,0.2575,0.3475,0.3367,0.5100,0,train
172,35,8,0.3425,0.4275,0.3367,0.5100,0,train
173,35,8,0.2975,0.3600,0.1933,0.3367,0,train
174,35,8,0.3600,0.4325,0.1900,0.3333,0,train
175,36,8,0.4400,0.5225,0.3367,0.5067,0,train
176,36,8,0.5250,0.6125,0.3333,0.5100,0,train
177,37,8,0.6250,0.7100,0.1200,0.2567,0,train
178,37,8,0.6225,0.7075,0.2467,0.3800,0,train
179,37,8,0.6175,0.7025,0.3733,0.5100,0,train
180,37,8,0.7125,0.8000,0.1200,0.2500,0,train
181,37,8,0.7100,0.7950,0.2467,0.3833,0,train
182,37,8,0.7025,0.7850,0.3733,0.5100,0,train
183,37,8,0.8100,0.9100,0.1600,0.3333,0,train
184,37,8,0.8075,0.8975,0.3333,0.5100,0,train
185,37,8,0.9000,0.9775,0.3267,0.5133,0,train
191,38,8,0.1625,0.2500,0.6100,0.7900,0,train
192,38,8,0.1675,0.2575,0.7867,0.9367,0,train
193,38,8,0.2525,0.3400,0.6133,0.7933,0,train
194,38,8,0.2550,0.3400,0.7833,0.9400,0,train
195,39,8,0.5175,0.6025,0.6100,0.7933,0,train
196,39,8,0.5150,0.5975,0.7867,0.9433,0,train
197,39,8,0.6025,0.6825,0.6067,0.7933,0,train
198,39,8,0.6000,0.6800,0.7867,0.9433,0,train
199,39,8,0.6875,0.7975,0.5800,0.7800,0,train
200,39,8,0.6850,0.7950,0.7733,0.9433,0,train
201,39,8,0.8050,0.9225,0.5800,0.7800,0,train
202,39,8,0.7975,0.9125,0.7700,0.9400,0,train
203,1218,9,0.6133,0.7400,0.0000,0.1350,0,train
204,1218,9,0.7467,0.8667,0.0000,0.1400,0,train
205,31,9,0.0000,0.1200,0.4050,0.5500,0,train
206,32,9,0.1300,0.2633,0.2500,0.3375,0,train
207,32,9,0.1267,0.2667,0.3275,0.4050,0,train
208,32,9,0.1233,0.2667,0.4000,0.4775,0,train
209,32,9,0.1233,0.2667,0.4750,0.5500,0,train
210,32,9,0.2667,0.3967,0.2575,0.3350,0,train
211,32,9,0.2667,0.4100,0.3300,0.4100,0,train
212,32,9,0.2700,0.4067,0.4000,0.4750,0,train
213,32,9,0.2667,0.4067,0.4750,0.5500,0,train
214,33,9,0.4000,0.5367,0.4100,0.5475,0,train
215,33,9,0.5367,0.6633,0.4075,0.5575,0,train
216,33,9,0.6667,0.7800,0.4100,0.5500,0,train
217,41,9,0.7700,0.8700,0.3475,0.5300,1,train
218,41,9,0.9367,1.0000,0.3325,0.5550,1,train
219,35,9,0.0500,0.1700,0.7550,0.9150,0,train
220,35,9,0.1733,0.2933,0.7575,0.9175,0,train
221,35,9,0.1200,0.2300,0.6100,0.7175,0,train
222,35,9,0.2267,0.3233,0.6125,0.7225,0,train
223,36,9,0.3200,0.4367,0.7550,0.9150,0,train
224,36,9,0.4400,0.5600,0.7650,0.9350,1,train
225,37,9,0.5700,0.6967,0.6100,0.7275,0,train
226,37,9,0.5667,0.6933,0.7275,0.8275,0,train
227,37,9,0.5733,0.6867,0.8225,0.9275,0,train
228,37,9,0.6967,0.8200,0.6100,0.7275,0,train
229,37,9,0.6967,0.8133,0.7175,0.8250,0,train
230,37,9,0.6967,0.8100,0.8175,0.9175,0,train
231,37,9,0.8367,0.9833,0.6450,0.8125,0,train
232,37,9,0.8300,0.9633,0.7950,0.9400,0,train
233,42,10,0.0000,0.0750,0.0000,0.1567,0,train
234,42,10,0.0575,0.1600,0.1533,0.3433,0,train
235,42,10,0.1050,0.1850,0.0367,0.1967,0,train
236,42,10,0.1875,0.2725,0.0033,0.1033,0,train
237,42,10,0.2800,0.3700,0.0000,0.1133,0,train
238,42,10,0.3725,0.4575,0.0000,0.1300,0,train
239,42,10,0.1800,0.2775,0.1000,0.2333,0,train
240,42,10,0.2775,0.3750,0.0967,0.2400,0,train
241,42,10,0.3700,0.4600,0.1200,0.2567,0,train
242,42,10,0.1750,0.2700,0.2200,0.3567,0,train
243,42,10,0.2725,0.3675,0.2233,0.3500,0,train
244,42,10,0.3700,0.4575,0.2433,0.3567,0,train
245,43,10,0.4575,0.5300,0.1500,0.2900,0,train
246,43,10,0.4650,0.5325,0.2867,0.3600,1,train
247,43,10,0.5500,0.6375,0.0533,0.2200,0,train
248,43,10,0.5475,0.6475,0.2133,0.3567,0,train
249,44,10,0.6475,0.7525,0.0267,0.1967,0,train
250,44,10,0.6525,0.7625,0.1933,0.3700,0,train
251,44,10,0.7475,0.8400,0.0467,0.2167,0,train
252,44,10,0.7600,0.8475,0.2100,0.3667,0,train
253,44,10,0.8350,0.9475,0.0333,0.2100,0,train
254,44,10,0.8475,0.9525,0.2067,0.3733,0,train
255,45,10,0.0425,0.1800,0.4933,0.6967,0,train
256,45,10,0.1850,0.3075,0.5000,0.7000,0,train
257,45,10,0.0325,0.1800,0.7033,0.9167,0,train
258,45,10,0.1825,0.3050,0.6967,0.9100,0,train
259,46,10,0.3125,0.4850,0.4767,0.6667,0,train
260,46,10,0.3075,0.4900,0.6733,0.9200,0,train
261,46,10,0.4850,0.6575,0.4967,0.6767,0,train
262,46,10,0.4950,0.6825,0.6700,0.9233,0,train
263,44,10,0.6600,0.7825,0.4867,0.6800,0,train
264,44,10,0.7850,0.9150,0.4800,0.6867,0,train
265,44,10,0.6700,0.7775,0.6800,0.9033,0,train
266,44,10,0.7825,0.9250,0.6867,0.9067,0,train
267,54,10,0.9200,1.0000,0.5833,0.7300,0,train
268,54,10,0.9225,1.0000,0.7333,0.9033,0,train
269,47,11,0.0000,0.0575,0.2767,0.3567,0,train
270,47,11,0.0000,0.0575,0.3633,0.4533,0,train
271,47,11,0.0000,0.0600,0.4467,0.5300,0,train
272,47,11,0.0575,0.1400,0.2733,0.3633,0,train
273,47,11,0.0550,0.1400,0.3600,0.4500,0,train
274,47,11,0.0600,0.1425,0.4467,0.5300,0,train
275,48,11,0.1375,0.2250,0.2000,0.3733,0,train
276,48,11,0.1425,0.2300,0.3733,0.5333,0,train
277,48,11,0.2225,0.3125,0.1967,0.3700,0,train
278,48,11,0.2250,0.3175,0.3667,0.5300,0,train
279,49,11,0.3150,0.4200,0.1833,0.3633,0,train
280,49,11,0.3150,0.4275,0.3600,0.5300,0,train
281,49,11,0.4225,0.5300,0.1833,0.3633,0,train
282,49,11,0.4225,0.5250,0.3633,0.5333,0,train
283,49,11,0.5325,0.6375,0.1833,0.3700,0,train
284,49,11,0.5300,0.6350,0.3633,0.5333,0,train
285,49,11,0.6550,0.7325,0.2067,0.3700,0,train
286,49,11,0.6425,0.7175,0.3700,0.5333,0,train
287,49,11,0.7375,0.8225,0.2067,0.3733,0,train
288,49,11,0.7200,0.8050,0.3667,0.5367,0,train
289,49,11,0.8050,0.8850,0.3700,0.5333,0,train
290,49,11,0.8950,0.9700,0.1767,0.3000,0,train
291,49,11,0.8925,0.9725,0.2967,0.4167,0,train
292,49,11,0.8900,0.9750,0.4167,0.5367,0,train
293,50,11,0.0000,0.0850,0.6300,0.7967,0,train
294,50,11,0.0000,0.0950,0.8000,0.9467,0,train
295,50,11,0.0875,0.1650,0.6200,0.7900,0,train
296,50,11,0.0900,0.1700,0.7933,0.9367,0,train
297,56,11,0.1625,0.2750,0.6000,0.7900,0,train
298,56,11,0.1650,0.2800,0.7900,0.9633,0,train
299,56,11,0.2775,0.3800,0.5967,0.7800,0,train
300,56,11,0.2800,0.3825,0.7867,0.9567,0,train
301,56,11,0.3800,0.4825,0.7367,0.9467,0,train
302,56,11,0.3850,0.4800,0.5933,0.7367,0,train
303,52,11,0.6550,0.7250,0.6033,0.7267,0,train
304,52,11,0.6550,0.7225,0.7267,0.8467,0,train
305,52,11,0.6525,0.7225,0.8333,0.9500,0,train
306,52,11,0.7275,0.8000,0.6033,0.7300,0,train
307,52,11,0.7250,0.7925,0.7267,0.8367,0,train
308,52,11,0.7250,0.7975,0.8333,0.9433,0,train
309,53,11,0.8350,0.9225,0.6167,0.7900,0,train
310,53,11,0.8275,0.9125,0.7767,0.9367,0,train
311,53,11,0.9200,1.0000,0.7567,0.9267,0,train
312,54,12,0.0600,0.1933,0.0725,0.1875,0,train
313,54,12,0.0600,0.1900,0.1800,0.2950,0,train
314,54,12,0.1933,0.3300,0.0700,0.1825,0,train
315,54,12,0.1900,0.3267,0.1800,0.2975,0,train
316,54,12,0.3267,0.4733,0.1825,0.2975,0,train
317,54,12,0.3300,0.4233,0.1050,0.1825,0,train
318,54,12,0.3567,0.4700,0.0225,0.1175,1,train
319,55,12,0.4733,0.6100,0.1675,0.2975,0,train
320,55,12,0.4733,0.6100,0.0250,0.1675,0,train
321,55,12,0.6133,0.7367,0.0250,0.1700,0,train
322,55,12,0.6100,0.7333,0.1600,0.3050,0,train
323,55,12,0.7367,0.8600,0.1625,0.3050,0,train
324,55,12,0.7400,0.8667,0.0200,0.1625,0,train
325,48,12,0.0100,0.1200,0.3950,0.5175,0,train
326,48,12,0.1300,0.2367,0.5150,0.6400,0,train
327,48,12,0.1233,0.2333,0.3900,0.5150,0,train
328,48,12,0.0167,0.1233,0.5175,0.6425,0,train
329,49,12,0.2467,0.3900,0.3800,0.5125,0,train
330,49,12,0.5400,0.6800,0.5125,0.6475,0,train
331,49,12,0.3933,0.5367,0.5075,0.6425,0,train
332,49,12,0.5333,0.6767,0.3800,0.5150,0,train
333,49,12,0.3933,0.5367,0.3825,0.5150,0,train
334,49,12,0.2467,0.3867,0.5050,0.6375,0,train
335,49,12,0.7033,0.8100,0.3900,0.5175,0,train
336,49,12,0.9067,1.0000,0.5150,0.6425,0,train
337,49,12,0.8000,0.9067,0.5125,0.6400,0,train
338,49,12,0.8167,0.9233,0.3925,0.5200,0,train
339,49,12,0.6867,0.7933,0.5150,0.6425,0,train
340,56,12,0.0433,0.1833,0.6900,0.8350,0,train
341,56,12,0.0400,0.1900,0.8375,0.9625,0,train
342,56,12,0.1867,0.3267,0.6875,0.8350,0,train
343,56,12,0.1867,0.3233,0.8300,0.9625,0,train
344,56,12,0.3300,0.4700,0.7925,0.9625,0,train
345,56,12,0.3400,0.4700,0.6875,0.7800,1,train
346,51,12,0.4933,0.5900,0.6925,0.8350,0,train
347,51,12,0.4833,0.5867,0.8275,0.9525,0,train
348,51,12,0.6000,0.7000,0.6950,0.8425,0,train
349,51,12,0.5900,0.6933,0.8300,0.9500,0,train
350,52,12,0.7133,0.8033,0.6900,0.7950,0,train
352,52,12,0.8100,0.9000,0.8600,0.9650,0,train
353,52,12,0.8100,0.9000,0.7825,0.8875,0,train
354,52,12,0.7067,0.7967,0.8675,0.9700,0,train
355,52,12,0.8133,0.9033,0.6925,0.7950,0,train
356,57,13,0.0033,0.2233,0.0000,0.2600,0,train
357,57,13,0.7300,0.9833,0.0000,0.2725,0,train
358,57,13,0.4767,0.7300,0.0000,0.2725,0,train
359,57,13,0.2267,0.4733,0.0000,0.2650,0,train
360,58,13,0.0000,0.2300,0.3800,0.6350,0,train
361,58,13,0.2333,0.4733,0.3850,0.6300,0,train
362,58,13,0.4933,0.7100,0.3875,0.6300,0,train
363,58,13,0.7100,0.9200,0.3950,0.6250,0,train
364,57,14,0.0033,0.2267,0.0175,0.2950,0,train
365,59,14,0.2533,0.3833,0.0425,0.3000,0,train
366,59,14,0.3833,0.5100,0.0450,0.3025,0,train
367,59,14,0.5100,0.6233,0.0525,0.3000,0,train
368,59,14,0.6300,0.7467,0.0625,0.3050,0,train
369,60,14,0.7567,1.0000,0.0100,0.3000,0,train
370,58,14,0.0500,0.2567,0.4125,0.6325,0,train
371,61,14,0.2567,0.4867,0.4350,0.6575,0,train
372,61,14,0.4867,0.7200,0.4375,0.6575,0,train
373,61,14,0.7167,0.9400,0.4375,0.6600,0,train
375,62,14,0.2667,0.4933,0.7300,0.9575,0,train
376,62,14,0.4933,0.7133,0.7275,0.9500,0,train
377,63,14,0.7100,0.9367,0.7175,0.9500,0,train
378,58,15,0.0000,0.1867,0.0600,0.2950,0,val-old-cl
379,58,15,0.1833,0.4033,0.0700,0.3000,0,val-old-cl
380,58,15,0.4033,0.6000,0.0775,0.3025,0,val-old-cl
381,58,15,0.6000,0.7900,0.0925,0.3175,0,val-old-cl
382,61,15,0.8133,1.0000,0.1125,0.3100,0,val-old-cl
384,62,15,0.7933,0.9767,0.3825,0.5600,0,val-old-cl
385,64,15,0.0667,0.2467,0.5950,0.7650,0,val-old-cl
386,64,15,0.2500,0.4233,0.5925,0.7625,0,val-old-cl
387,64,15,0.4233,0.5833,0.5850,0.7375,0,val-old-cl
388,65,15,0.5867,0.6933,0.5825,0.6725,1,val-new-cl
389,65,15,0.7000,0.8233,0.5825,0.6725,1,val-new-cl
390,65,15,0.6933,0.9067,0.6525,0.7550,1,val-new-cl
391,66,15,0.0000,0.2067,0.8225,0.9950,0,val-old-cl
392,66,15,0.2000,0.4033,0.8150,0.9925,0,val-old-cl
393,66,15,0.4100,0.6067,0.8200,0.9950,0,val-old-cl
394,61,16,0.0000,0.1175,0.3067,0.5867,0,train
395,67,16,0.1325,0.2750,0.2633,0.5733,0,train
396,67,16,0.2725,0.4325,0.2467,0.5833,0,train
397,67,16,0.4350,0.5850,0.2533,0.5900,0,train
398,67,16,0.5875,0.7350,0.2567,0.5900,0,train
399,68,16,0.7925,0.9450,0.2633,0.5900,0,train
400,63,16,0.0000,0.1425,0.6800,0.9533,0,train
401,63,16,0.1875,0.3125,0.6567,0.8567,0,train
402,69,16,0.3100,0.4650,0.6567,0.9533,0,train
403,69,16,0.4625,0.6000,0.6533,0.8967,0,train
404,69,16,0.6075,0.7675,0.6667,0.9467,0,train
405,70,16,0.7725,0.9275,0.6500,0.9533,0,train
406,70,16,0.9275,0.9975,0.6467,0.9433,0,train
407,67,17,0.0000,0.2567,0.2700,0.6025,0,train
408,67,17,0.2567,0.5367,0.2700,0.6100,0,train
409,67,17,0.5367,0.8133,0.2700,0.6150,0,train
410,69,17,0.0633,0.3300,0.6725,0.9500,0,train
411,69,17,0.3533,0.5867,0.6525,0.8875,0,train
412,69,17,0.5933,0.8633,0.6750,0.9625,0,train
413,70,18,0.0000,0.2650,0.4500,0.9733,0,train
414,70,18,0.2575,0.5100,0.4800,0.9467,0,train
415,70,18,0.5025,0.7350,0.4800,0.9533,0,train
416,68,18,0.0000,0.2700,0.0000,0.3700,0,train
417,68,18,0.2775,0.5500,0.0000,0.3967,0,train
418,68,18,0.5600,0.8175,0.0000,0.4233,0,train
419,71,19,0.0850,0.1675,0.1533,0.4433,0,train
420,71,19,0.1575,0.3025,0.1133,0.4433,0,train
421,72,19,0.3500,0.4875,0.2500,0.4500,0,train
422,72,19,0.4925,0.6525,0.2033,0.4500,0,train
423,73,19,0.0000,0.1275,0.5367,0.8733,0,train
424,74,19,0.0825,0.4150,0.6700,0.9133,0,train
425,74,19,0.1400,0.4100,0.5133,0.6633,0,train
426,75,19,0.4275,0.7275,0.6833,0.8967,0,train
427,75,19,0.4375,0.6550,0.5167,0.6400,0,train
428,76,19,0.6600,0.8500,0.5233,0.6433,0,train
429,76,19,0.7150,0.9825,0.6567,0.7733,0,train
430,77,20,0.0033,0.1433,0.1900,0.3575,0,train
431,78,20,0.2300,0.4233,0.1525,0.3400,0,train
432,78,20,0.5000,0.6533,0.1300,0.3250,0,train
433,71,20,0.6467,0.7767,0.1025,0.3175,0,train
434,71,20,0.7733,0.9900,0.0600,0.3050,0,train
435,79,20,0.0000,0.1500,0.4050,0.6625,0,train
436,79,20,0.1300,0.3100,0.4000,0.6550,0,train
437,74,20,0.7000,1.0000,0.3575,0.4675,0,train
438,74,20,0.7200,1.0000,0.4725,0.6375,0,train
439,599,20,0.2200,0.3567,0.7050,0.8500,0,train
440,81,20,0.4367,0.7000,0.6925,0.9375,0,train
441,601,20,0.7033,0.9067,0.6875,0.8750,0,train
442,72,21,0.0433,0.2233,0.0975,0.2525,0,train
443,72,21,0.2200,0.4667,0.0400,0.2525,0,train
444,75,21,0.1333,0.5567,0.4550,0.6175,0,train
445,75,21,0.2300,0.5400,0.3300,0.4350,0,train
446,76,21,0.5567,0.8267,0.3325,0.4300,0,train
447,76,21,0.5667,0.9467,0.4350,0.5275,0,train
449,83,21,0.3867,0.5300,0.6750,0.8400,1,train
450,83,21,0.5233,0.7467,0.6725,0.9125,0,train
451,83,21,0.7467,0.9500,0.6700,0.9100,0,train
452,84,22,0.0000,0.5133,0.2800,0.4050,0,val-old-cl
453,84,22,0.0000,0.5233,0.3950,0.5225,0,val-old-cl
454,85,22,0.6467,1.0000,0.7400,0.8675,0,val-old-cl
455,85,22,0.6400,1.0000,0.8725,0.9300,1,val-old-cl
456,85,22,0.6467,0.9900,0.6850,0.7400,1,val-old-cl
457,86,23,0.7200,0.9167,0.2650,0.4350,0,val-new-cl
458,1006,23,0.0867,0.5900,0.6875,0.7725,0,val-new-cl
459,1006,23,0.0733,0.6000,0.7775,0.8775,0,val-new-cl
460,88,23,0.6033,0.9933,0.6975,0.7800,0,val-old-cl
461,88,23,0.6067,1.0000,0.7825,0.8750,0,val-old-cl
462,89,24,0.1800,0.5250,0.3100,0.5633,0,train
463,89,24,0.1075,0.5475,0.6100,0.8967,0,train
464,89,24,0.5600,1.0000,0.1233,0.3767,0,train
465,89,24,0.5475,1.0000,0.3800,0.6367,0,train
466,89,24,0.5325,1.0000,0.6033,0.8900,0,train
467,90,25,0.0000,0.1800,0.3767,0.6033,0,train
